id,NameOTF,Cluster
78,"Организация строительства объектов дорожного хозяйства и приемка в эксплуатацию объектов дорожного хозяйства, строительство которых завершено",3
79,Организация и контроль производства отдельных видов строительно-монтажных работ на участке строительства объектов жилищно-гражданского комплекса,4
80,Организация и контроль производственно-хозяйственной деятельности в процессе проведения строительно-монтажных работ при возведении объектов жилищно-гражданского комплекса,3
81,Организация строительства и приемка в эксплуатацию законченных объектов жилищно-гражданского комплекса,3
82,Организация производства видов строительных работ,12
83,Организация производства отдельных этапов строительных работ,12
84,Организация строительства объектов капитального строительства,6
85,Обеспечение производства работ на участке строительства строительными машинами и механизмами,10
86,Обеспечение производства работ на объекте капитального строительства строительными машинами и механизмами,10
87,Формирование и ведение отдельных видов организационно-технологической и исполнительной документации на участке производства строительно-монтажных работ,4
88,Формирование и ведение организационно-технологической и исполнительной документации процесса строительного производства,4
89,"Руководство формированием, ведением и соблюдением требований организационно-технологической и исполнительной документации процесса строительного производства",4
90,Выполнение финансово-экономических расчетов и ведение первичной учетной документации при выполнении строительно-монтажных работ на производственном участке,4
91,Осуществление планово-экономической деятельности в строительной организации,9
92,Управление планово-экономической деятельностью строительной организации,9
93,Ведение складского хозяйства строительной организации,9
94,Обеспечение производства работ на участке строительства материальными ресурсами,10
95,Обеспечение производства работ на объекте капитального строительства материальными ресурсами,10
96,Руководство производственной и финансово-хозяйственной деятельностью строительной организации,4
97,Стратегическое и оперативное управление строительной организацией,4
98,"Техническая и технологическая оценка основных фондов ресурсоснабжающей организации, организации сферы обращения с ТКО",0
99,Экономическая оценка затрат и результатов деятельности организации,11
100,Разработка цен и тарифов на работы и услуги организации сферы обращения с ТКО или ресурсоснабжающей организации в соответствии с выбранным методом регулирования,0
101,"Руководство структурным подразделением специалистов, осуществляющих деятельность по формированию цен и тарифов на работы и услуги ресурсоснабжающей организации, организации сферы обращения с ТКО",0
102,Разработка и подготовка к выпуску рабочей документации тепловых сетей,13
103,Разработка проекта тепловых сетей,13
104,Техническое руководство процессами разработки и реализации проекта тепловых сетей,2
105,"Подготовка проектной документации по отдельным узлам и элементам тепломеханической части котельных, центральных тепловых пунктов, малых теплоэлектроцентралей",8
106,"Выполнение специальных расчетов для проектирования технологических решений котельных, центральных тепловых пунктов, малых теплоэлектроцентралей",8
107,"Руководство работниками, осуществляющими проектирование технологических решений котельных, центральных тепловых пунктов, малых теплоэлектроцентралей, на всех объектах",8
108,Разработка и подготовка к выпуску рабочей документации проекта насосных станций систем водоснабжения и водоотведения,13
109,Разработка проекта насосных станций систем водоснабжения и водоотведения,2
110,Техническое руководство процессами разработки и реализации проекта насосных станций систем водоснабжения и водоотведения,2
111,Разработка и подготовка к выпуску рабочей документации сооружений очистки сточных вод и обработки осадков,13
112,Разработка проекта сооружений очистки сточных вод и обработки осадков,2
113,Техническое руководство процессами разработки и реализации проекта сооружений очистки сточных вод и обработки осадков,2
114,"Подготовка проектной и рабочей документации по отдельным узлам и элементам для проектирования внутреннего газооборудования технологических установок, котельных и малых теплоэлектроцентралей",8
115,"Подготовка и оформление специальных расчетов для проектирования внутреннего газооборудования технологических установок, котельных и малых теплоэлектроцентралей",8
116,"Руководство работниками, осуществляющими проектирование внутреннего газооборудования технологических установок, котельных и малых теплоэлектроцентралей на всех объектах",8
117,"Разработка проектной и рабочей документации на объекты капитального строительства, относящиеся к категории уникальных",0
118,"Техническое руководство процессами разработки проектной документации на объекты капитального строительства, относящиеся к категории уникальных, и осуществление авторского надзора",2
119,Строительный контроль систем защитных покрытий и электрохимической защиты,5
120,Организация работ и руководство работами по строительному контролю устройства систем защиты от коррозии,5
121,"Управление подразделением строительного контроля, идентификация угроз и анализ рисков на объектах строительного контроля систем защиты от коррозии",5
122,"Подготовка проекта по обеспечению соблюдения требований энергетической эффективности зданий, строений и сооружений",11
123,"Техническое руководство процессами разработки и реализации проекта по обеспечению соблюдения требований энергетической эффективности зданий, строений и сооружений",2
124,Разработка и оформление рабочей документации системы холодоснабжения,13
125,Разработка проектной документации системы холодоснабжения,13
126,Техническое руководство процессами разработки и реализации проекта системы холодоснабжения,2
